name	name_en	geometry	rank	federal_subject	population_2023_estimate	population_2021_census	change	land_area_km2	pop_density_per_km2
Московская область	Moscow Oblast	POLYGON ((38.665981800000004 54.256714, 38.843426099999995 54.621543900000006, 39.2470448 54.645797900000005, 40.19092260000001 55.3650073, 39.8891021 55.8331955, 39.48284139999999 55.7449934, 38.5732421 55.99431870000001, 38.318130700000005 56.658578000000006, 38.2442987 56.7934634, 37.69830690000001 56.958511800000004, 37.0668314 56.755621399999995, 37.0555477 56.526247, 36.088667099999995 56.335661699999996, 35.4342706 56.4586556, 35.1484955 55.9575013, 35.33422149999999 55.271752000000006, 36.9372397 55.241390700000004, 36.8162398 55.50835130000001, 37.1495437 55.4384775, 37.335025900000005 55.953589099999995, 37.574387599999994 55.957658699999996, 37.963796300000006 55.6739042, 37.045631900000004 55.1421745, 37.26870910000001 54.84180149999999, 38.45664439999999 54.6535882, 38.665981800000004 54.256714))	2	Moscow Oblast	8594454	8524665	+0.82%	44329	193.88
Москва	Moscow	POLYGON ((37.045631900000004 55.1421745, 37.963796300000006 55.6739042, 37.574387599999994 55.957658699999996, 37.335025900000005 55.953589099999995, 37.1495437 55.4384775, 36.8162398 55.50835130000001, 36.9372397 55.241390700000004, 37.045631900000004 55.1421745))	1	Moscow	13097539	13010112	+0.67%	2561	5114.23
Ставропольский край	Stavropol Krai	POLYGON ((45.70511590000002 44.9773628, 44.3159918 45.552748900000005, 43.9152155 45.9465956, 42.93178739999999 46.2360616, 42.5567887 46.0080411, 42.3180347 45.969723900000005, 42.3219373 46.135449300000005, 42.15156939999999 45.9430799, 41.71441 45.9824283, 41.16089830000001 45.951688299999994, 41.272135900000016 45.7588342, 40.8479682 45.694229, 40.8460433 45.516919900000005, 41.0354076 45.225643100000006, 41.27899670000001 45.2638468, 41.6539743 44.986253, 41.427092900000005 44.70847620000001, 41.736078000000006 44.473664899999996, 42.5534177 44.36831840000001, 42.292978800000014 44.0399613, 42.58456749999999 44.02637730000001, 42.6782891 43.809695, 43.1764311 43.959842599999995, 43.316638999999995 43.79976010000001, 43.74488759999999 43.81946769999999, 43.922163600000005 44.02031430000001, 44.419363999999995 44.0164506, 44.29252300000001 43.809673, 44.79372790000001 43.81699699999999, 44.833204599999995 43.6817992, 45.0656947 43.72032380000001, 45.0539422 43.9582513, 45.4384542 43.8758653, 45.4906809 44.0076503, 45.5029861 44.1756877, 45.103421499999996 44.19090810000001, 45.3715098 44.290144500000004, 45.239471800000004 44.5567733, 45.70511590000002 44.9773628))	13	Stavropol Krai	2890902	2907593	−0.57%	66160	43.7
Ростовская область	Rostov Oblast	POLYGON ((41.71441 45.9824283, 41.6368226 46.187355600000004, 42.170370000000005 46.297813700000006, 42.049722700000004 46.5461641, 42.9317296 46.4469146, 43.3392286 46.167136400000004, 43.63033670000001 46.175383800000006, 43.73883520000001 46.4080468, 43.9587354 46.3191021, 43.812758 46.571863799999996, 44.26594830000001 46.9094657, 44.312238300000004 47.47787149999999, 44.13513200000001 47.544900999999996, 43.93951290000001 47.25875010000001, 43.711218 47.4742256, 42.924990300000005 47.507355700000005, 42.525201700000004 48.01864449999999, 42.01813130000001 48.023923800000006, 42.085691 48.415705800000005, 42.704482 48.5865981, 42.74780739999999 48.822528600000005, 42.339804199999996 49.1392641, 42.02111220000001 49.1338348, 42.17391810000001 49.69410510000001, 41.400994499999996 50.20280590000001, 40.9210054 49.700487599999995, 40.13539170000001 49.617102100000004, 40.221282 49.2498992, 39.6632637 49.0010227, 40.0801068 48.8701366, 39.6606493 48.6090856, 40.02075930000001 48.253856999999996, 39.794920100000006 47.8703755, 38.8783693 47.8759315, 38.3504173 47.616542300000006, 38.3381215 46.9807515, 38.9332943 46.8412909, 38.9023273 46.56011350000001, 39.26256220000001 46.794294300000004, 40.0632219 46.7719415, 40.272274800000005 46.31449309999999, 40.9904218 46.29836310000001, 41.16089830000001 45.951688299999994, 41.71441 45.9824283))	6	Rostov Oblast	4163708	4200729	−0.88%	100967	41.24
Краснодарский край	Krasnodar Krai	POLYGON ((40.7136025 43.532770600000006, 40.8912762 44.142995400000004, 41.4797499 44.0009256, 41.736078000000006 44.473664899999996, 41.427092900000005 44.70847620000001, 41.6539743 44.986253, 41.27899670000001 45.2638468, 41.0354076 45.225643100000006, 40.8460433 45.516919900000005, 40.8479682 45.694229, 41.272135900000016 45.7588342, 41.16089830000001 45.951688299999994, 40.9904218 46.29836310000001, 40.272274800000005 46.31449309999999, 40.0632219 46.7719415, 39.26256220000001 46.794294300000004, 38.9023273 46.56011350000001, 38.9332943 46.8412909, 38.3381215 46.9807515, 37.437589599999995 46.7158298, 36.668449900000006 45.6266206, 36.609722500000004 44.94066719999999, 38.623879200000005 44.118782200000005, 39.7840909 43.2449215, 40.1038511 43.56819210000001, 40.7136025 43.532770600000006), (40.77671580000001 44.4698518, 40.4299974 44.762461800000004, 40.4804755 43.964505900000006, 40.2494067 43.76211650000001, 39.7777748 43.961767099999996, 39.76859620000001 44.180348, 40.0930244 44.129584, 39.8443135 44.3533926, 39.885147499999995 45.023049900000004, 39.4712487 45.035690800000005, 39.652909900000004 44.874174399999994, 39.4843287 44.80444189999999, 38.689717800000004 45.0599755, 39.221442200000006 44.9889885, 39.6203276 45.21711330000001, 40.27651220000001 45.10557080000001, 40.77671580000001 44.4698518))	3	Krasnodar Krai	5818377	5838273	−0.34%	75485	77.08
Адыгея	Adygea	POLYGON ((40.77671580000001 44.4698518, 40.27651220000001 45.10557080000001, 39.6203276 45.21711330000001, 39.221442200000006 44.9889885, 38.689717800000004 45.0599755, 39.4843287 44.80444189999999, 39.652909900000004 44.874174399999994, 39.4712487 45.035690800000005, 39.885147499999995 45.023049900000004, 39.8443135 44.3533926, 40.0930244 44.129584, 39.76859620000001 44.180348, 39.7777748 43.961767099999996, 40.2494067 43.76211650000001, 40.4804755 43.964505900000006, 40.4299974 44.762461800000004, 40.77671580000001 44.4698518))	73	Adygea	497704	496934	+0.15%	7792	63.87
Тамбовская область	Tambov Oblast	POLYGON ((43.03970590000001 52.370634599999995, 43.2480873 52.63634020000001, 42.236842200000005 53.359372300000004, 42.1436297 53.802798100000004, 41.3997431 53.783737300000006, 41.144902900000005 53.416669999999996, 40.700911500000004 53.5561512, 40.1706936 53.31262149999999, 39.915693999999995 52.708850700000006, 40.73343500000001 52.2512468, 40.5341401 51.945692300000005, 41.0024911 51.7161817, 41.4821914 51.804556999999996, 42.5208613 51.596121700000005, 43.03970590000001 52.370634599999995))	52	Tambov Oblast	965734	982991	−1.76%	34462	28.02
Рязанская область	Ryazan Oblast	MULTIPOLYGON (((42.433575100000006 54.793561200000006, 42.507043499999995 54.748991100000005, 42.4443206 54.79835400000001, 42.433575100000006 54.793561200000006)), ((42.35096939999999 53.853729099999995, 42.261957300000006 54.0876559, 42.6890737 54.129277900000005, 42.164255100000005 54.258241399999996, 42.62917130000001 54.3759237, 42.691248 54.5805068, 42.414622599999994 54.7034749, 42.3891004 54.830206999999994, 42.442326 54.82539860000001, 42.4854902 55.009354900000005, 41.79276330000001 55.10142, 40.19092260000001 55.3650073, 39.2470448 54.645797900000005, 38.843426099999995 54.621543900000006, 38.665981800000004 54.256714, 38.9375218 53.5741746, 39.3268822 53.3912507, 39.7577654 53.5866538, 40.1706936 53.31262149999999, 40.700911500000004 53.5561512, 41.144902900000005 53.416669999999996, 41.3997431 53.783737300000006, 42.1436297 53.802798100000004, 42.35096939999999 53.853729099999995)))	44	Ryazan Oblast	1088308	1102810	−1.32%	39605	27.48
Кемеровская область	Kemerovo Oblast	POLYGON ((88.6012577 55.4273774, 89.40264370000001 55.8665625, 88.59341590000001 56.430664099999994, 88.59755690000001 56.8021984, 87.6543095 56.5436072, 87.59666460000003 56.663656, 87.0920826 56.5343196, 86.20462260000002 56.623997, 85.6845185 56.211708, 84.45348879999999 56.0432135, 85.1161717 54.4386068, 86.1242538 53.9808962, 86.39373289999999 53.59728739999999, 86.9303287 53.503674399999994, 86.62734259999999 53.23851640000001, 87.0545776 53.0412227, 87.13270029999998 52.6175931, 87.65332709999998 52.42241570000001, 88.44568500000001 52.43295570000001, 88.37583179999997 52.177457399999994, 89.2397495 52.80068849999999, 88.7569568 53.3591754, 89.23910940000002 53.8188981, 89.0054838 54.003970300000006, 89.2383938 54.26560280000001, 88.3638129 54.3820623, 88.75416330000002 54.79054680000001, 88.4331911 55.256772600000005, 88.6012577 55.4273774))	16	Kemerovo Oblast	2567990	2600923	−1.27%	95725	26.83
Республика Хакасия	Khakassia	POLYGON ((90.4867326 52.195871100000005, 91.92369740000001 53.349600599999995, 91.45046940000002 53.790421, 91.5772335 54.087023699999996, 90.49921510000001 55.060849399999995, 89.4230395 55.01128859999999, 88.6012577 55.4273774, 88.4331911 55.256772600000005, 88.75416330000002 54.79054680000001, 88.3638129 54.3820623, 89.2383938 54.26560280000001, 89.0054838 54.003970300000006, 89.23910940000002 53.8188981, 88.7569568 53.3591754, 89.2397495 52.80068849999999, 88.37583179999997 52.177457399999994, 87.9768402 51.952265999999995, 87.94139840000001 51.4789265, 88.4454889 51.28512570000001, 88.79153120000001 51.5537609, 89.65967529999999 51.5391677, 90.1351174 51.76045930000001, 90.14344279999999 52.1484879, 90.4867326 52.195871100000005))	69	Khakassia	530052	534795	−0.89%	61569	8.61
Алтайский край	Altai Krai	POLYGON ((87.13270029999998 52.6175931, 87.0545776 53.0412227, 86.62734259999999 53.23851640000001, 86.9303287 53.503674399999994, 86.39373289999999 53.59728739999999, 86.1242538 53.9808962, 85.1161717 54.4386068, 84.44525970000002 54.138940000000005, 83.5541405 54.1092291, 83.3555657 53.932337700000005, 83.1980567 54.065828100000004, 82.5663872 53.4984936, 81.81838179999998 53.68525090000001, 81.82960849999999 53.965494, 81.5403908 53.905841699999996, 80.9517095 54.375622, 79.42194 53.67821200000001, 78.3645362 53.475295100000004, 77.91578799999999 53.571123300000004, 77.9065061 53.291410000000006, 80.07586579999999 50.7382076, 80.6776732 51.3167498, 81.1463635 51.2118797, 81.0597635 50.947903399999994, 81.4125874 50.9757418, 81.4493382 50.755926, 82.56746960000002 50.7468424, 83.40716450000002 51.0131887, 84.08041829999999 50.639877, 84.589885 50.8239919, 83.9329189 51.1380873, 85.44425810000001 51.5633895, 85.9188426 52.1056625, 86.80104440000001 52.15872220000001, 86.62793819999999 52.5268304, 87.13270029999998 52.6175931))	22	Altai Krai	2131019	2163693	−1.51%	167996	12.68
Республика Алтай	Altai Republic	POLYGON ((89.5935703 49.912287299999996, 89.30842829999999 50.2079371, 89.8513499 50.52488939999999, 89.05422130000001 51.047136, 88.79153120000001 51.5537609, 88.4454889 51.28512570000001, 87.94139840000001 51.4789265, 87.9768402 51.952265999999995, 88.37583179999997 52.177457399999994, 88.44568500000001 52.43295570000001, 87.65332709999998 52.42241570000001, 87.13270029999998 52.6175931, 86.62793819999999 52.5268304, 86.80104440000001 52.15872220000001, 85.9188426 52.1056625, 85.44425810000001 51.5633895, 83.9329189 51.1380873, 84.589885 50.8239919, 84.08041829999999 50.639877, 84.3625226 50.2054649, 85.0355435 50.0524943, 85.25751910000001 49.5885235, 86.20203749999999 49.46611280000001, 86.7810989 49.79434690000001, 86.61824879999999 49.5703775, 87.427347 49.071318000000005, 87.98843799999999 49.18302, 88.221784 49.479659999999996, 89.19529999999999 49.5202, 89.71920000000001 49.72830000000001, 89.5935703 49.912287299999996))	79	Altai Republic	210797	210924	−0.06%	92903	2.27
Забайкальский край	Zabaykalsky Krai	POLYGON ((122.111783 53.431496499999994, 121.62599149999998 54.092671, 121.68954839999999 54.4049399, 122.144886 54.4480808, 121.9077453 54.810765499999995, 121.6403283 54.764773600000005, 121.9596487 55.00053210000001, 121.99111420000003 55.5072556, 121.77155640000001 55.632845800000005, 121.3420169 55.522041300000005, 121.20358460000001 56.041152700000005, 120.1194427 55.866488, 120.036595 56.1559565, 120.53554340000001 56.2874917, 119.80159490000001 56.59050810000001, 119.8561397 56.8960791, 119.5021152 57.599544, 119.14129030000001 57.5549953, 119.11684199999999 58.23812800000001, 118.6714492 58.1796738, 117.8275409 58.4373932, 117.47156370000002 58.32567230000001, 117.4317077 57.9298933, 117.07640709999998 57.8262882, 117.44909940000002 57.26010180000001, 117.77877009999997 57.319355200000004, 117.5606922 56.8653045, 117.32066460000001 56.965177700000005, 116.74511410000001 56.73832930000001, 115.7303364 56.96235050000001, 115.4130317 56.6119981, 115.80247699999998 56.436297399999994, 115.90117500000001 55.409036900000004, 116.37370999999999 55.381470199999995, 116.8408089 55.035079200000006, 116.7201482 54.52862330000001, 115.6062407 54.414622699999995, 114.9788184 53.993731600000004, 113.80104460000001 53.615799300000006, 113.9487757 53.24993510000001, 114.3775124 53.0530627, 113.5908767 52.4483271, 112.38236179999998 52.201950200000006, 112.07276499999999 52.284610300000004, 110.7055611 51.511569599999994, 109.97538159999999 51.6165094, 109.39326670000001 51.353721799999995, 108.62818859999999 51.4924915, 108.37558259999999 51.2560697, 108.5613425 51.12056580000001, 108.0605418 50.7745571, 108.6900845 50.513122200000005, 107.9673311 50.32173590000001, 107.75531629999999 49.9706305, 108.51750000000001 49.322700000000005, 110.1998 49.154199999999996, 112.8108 49.5159, 114.33879999999999 50.282700000000006, 115.5067 49.9071, 116.2355 50.0356, 117.8694091 49.5084985, 119.2864352 50.109500600000004, 119.37947689999999 50.3206077, 119.1184995 50.389461299999994, 120.0803649 51.67831860000001, 120.69697169999999 51.981088899999996, 120.72627370000001 52.539935400000005, 120.0619671 52.5860533, 120.02664370000001 52.776256000000004, 120.87501499999999 53.29269390000001, 122.111783 53.431496499999994))	50	Zabaykalsky Krai	992202	1004125	−1.19%	431892	2.3
Марий Эл	Mari El	POLYGON ((48.3955848 55.82993270000001, 49.0515639 56.344789899999995, 49.75610280000001 56.5372145, 49.970483699999996 56.4313809, 50.08142349999999 56.6111768, 49.69538300000001 57.0577191, 49.2416858 57.045668, 49.1737275 57.3428361, 48.9493743 57.0826018, 48.32893610000001 57.166090000000004, 47.26530620000001 56.807166699999996, 46.721544300000005 56.963392500000005, 45.9705241 56.8706623, 45.627050800000006 56.568021300000005, 46.185250100000005 56.0316178, 47.39252280000001 56.322985900000006, 48.3955848 55.82993270000001))	64	Mari El	672093	677097	−0.74%	23375	28.75
Чувашия	Chuvashia	POLYGON ((47.2678667 54.6734858, 47.39792739999999 54.892569300000005, 47.8235394 54.803411499999996, 48.01160439999999 54.9855305, 48.012036200000004 55.2897866, 47.66994290000001 55.2142135, 47.64510870000001 55.33553010000001, 48.3955848 55.82993270000001, 47.39252280000001 56.322985900000006, 46.185250100000005 56.0316178, 45.916441799999994 55.6680274, 46.3892197 55.4276508, 46.062037200000006 55.0477131, 46.4430232 54.7616591, 47.2678667 54.6734858))	39	Chuvashia	1173231	1186909	−1.15%	18343	63.96
Белгородская область	Belgorod Oblast	POLYGON ((39.1799425 49.8888021, 39.1192702 50.6245934, 38.711481799999994 50.791979700000006, 38.856455399999994 51.0360036, 38.38811270000001 51.07684739999999, 38.5193896 51.2110233, 38.2885841 51.29635160000001, 37.383742399999996 51.384521199999995, 36.5974949 51.0658797, 36.0529095 51.16697090000001, 35.8330063 50.9407379, 35.351633899999996 50.97402459999999, 35.6262234 50.352027899999996, 36.08665 50.44836, 36.64867 50.21765, 37.47688959999999 50.459439399999994, 38.032974 49.9001506, 38.3131708 50.08821890000001, 38.93069139999999 49.79683260000001, 39.1799425 49.8888021))	30	Belgorod Oblast	1514695	1540486	−1.67%	27134	55.82
Республика Саха (Якутия)	Sakha Republic	MULTIPOLYGON (((159.00209990000002 76.75972490000001, 158.1359573 76.99573029999999, 157.1578002 76.8211924, 157.99183860000002 76.5836103, 159.00209990000002 76.75972490000001)), ((116.92993779999999 74.32204569999999, 115.96457430000001 74.56547879999998, 115.2184358 74.27563149999999, 116.13903279999998 74.07889599999999, 116.92993779999999 74.32204569999999)), ((157.517825 77.04442950000002, 156.6469416 77.30993729999999, 155.58882860000003 77.1078253, 156.3391706 76.875424, 157.517825 77.04442950000002)), ((150.35365819999998 76.7899704, 148.48754780000004 76.9076751, 147.68658169999998 76.56112930000002, 149.50010630000003 76.44344350000001, 150.35365819999998 76.7899704)), ((137.0194314 73.9081018, 136.04241730000004 74.3819015, 134.8255049 74.35254709999998, 134.7782444 74.07850079999999, 135.76187199999998 73.71690400000001, 136.51963529999998 73.7019618, 137.0194314 73.9081018)), ((153.6783431 76.1565434, 153.13206069999998 76.37437969999999, 151.89744880000006 76.27954869999999, 151.97775569999996 75.54761930000002, 153.13460279999998 75.59917809999999, 152.86840890000005 75.8914757, 153.6783431 76.1565434)), ((162.53106019999998 69.86903829999999, 160.6542931 69.92273119999999, 160.53748950000002 70.09912350000002, 160.42846030000004 70.6029289, 162.2884616 70.42224, 163.03977389999997 70.5498312, 161.85622070000002 71.08904109999999, 160.24184069999998 71.10174109999998, 159.82303290000002 70.8937626, 157.06215880000002 71.2749578, 152.8121505 71.01745670000001, 149.7990467 72.3398716, 144.38142630000007 72.84060340000002, 144.03366649999998 73.6409909, 141.8021041 74.25979819999999, 145.4902592 75.11084460000001, 147.79857379999999 74.6101283, 149.7312141 74.5511925, 151.2148378 74.73191430000001, 151.73504369999998 75.15699779999998, 146.8018554 75.7732759, 145.8233947 75.71186520000002, 140.36690830000003 76.4963083, 137.7862503 76.28261930000001, 136.57005349999997 75.87270399999998, 135.20908549999996 76.0269739, 134.7003767 75.4455773, 139.44825419999998 74.1361379, 139.0823555 73.38244219999999, 139.92283710000004 72.9003874, 137.2643389 71.812053, 135.4896062 71.8296184, 134.2318358 71.57564279999998, 133.62683130000002 72.1017679, 132.5729605 72.137992, 130.8137788 71.19209879999998, 130.24439569999996 71.79112530000002, 130.21616529999997 73.0544029, 128.60247760000001 73.62187309999999, 123.0780624 74.18671789999999, 122.42719400000001 73.9877218, 122.57291719999999 73.3118705, 121.1162553 73.1380257, 118.8806892 73.7483019, 115.55843189999999 73.9103268, 114.02518669999999 73.78696980000001, 113.5839854 74.03897229999998, 114.2035818 74.41899420000001, 113.56657 74.893845, 110.48527370000001 74.3252947, 111.89851829999999 74.0080544, 110.82510099999999 73.748476, 111.28272849999999 73.6092453, 110.12025009999999 73.4054261, 110.8501602 73.16067029999999, 111.00877619999999 72.3888934, 112.0006953 72.12440009999999, 112.00051420000001 71.4023082, 112.72279549999999 71.25363370000001, 112.5940413 71.10255129999999, 110.1235172 70.6369834, 110.3133346 70.4085707, 109.3008576 70.2083504, 109.29572900000001 69.7742735, 108.2487331 69.8544031, 106.14263960000001 69.41160150000002, 106.90659350000001 68.8577842, 106.82203879999997 67.3340928, 105.50834099999999 67.0157677, 106.21330090000001 66.79778209999999, 106.41612450000002 65.66922900000002, 106.9681923 65.5066175, 105.9504653 65.03990060000001, 106.20752890000001 64.87303659999999, 105.91480070000001 64.90349690000001, 105.71260320000002 64.5830045, 108.08566400000001 64.24646760000002, 108.50282729999999 64.3062912, 108.80583839999998 63.878422, 108.3063245 63.847093099999995, 108.13588139999999 63.607747399999994, 109.1749198 63.54166449999999, 109.68251719999999 62.844266299999994, 109.2519161 62.5767505, 109.9960561 62.31465699999999, 109.57530909999998 61.91470399999999, 109.7600024 61.33212, 110.54350040000001 61.161923900000005, 109.25227129999999 59.4669061, 109.6426561 59.060777, 110.2630967 58.991047699999996, 110.72054229999999 59.2809018, 111.6498208 59.2238485, 112.27368109999999 59.5315037, 112.2726105 59.3023949, 112.6514612 59.31362299999999, 112.5197365 58.89073630000001, 112.60565390000001 59.10782449999999, 113.4652121 59.26559300000001, 113.58943179999999 59.5934476, 115.212785 60.490171100000005, 115.73119580000001 60.5483862, 117.34719020000001 60.024205200000004, 117.00727350000001 59.9191838, 117.2493402 59.513226599999996, 117.91256130000001 59.4507162, 118.24813470000001 59.6518351, 118.7586268 59.4304197, 118.75496270000001 58.629187, 119.12044079999998 58.516282, 119.11684199999999 58.23812800000001, 119.14129030000001 57.5549953, 119.5021152 57.599544, 119.8561397 56.8960791, 121.40558960000001 56.9855286, 121.6103104 56.73824280000001, 122.1639431 56.746190500000004, 122.5715967 56.485401599999996, 122.884679 56.59638210000001, 123.9208059 56.387864599999986, 124.50588729999998 55.88464809999999, 125.8463951 55.8022882, 126.0960922 55.5897802, 127.1869557 55.7176958, 127.45877549999999 55.578030500000004, 127.73370879999999 55.731275600000004, 128.7859391 55.48767149999999, 129.49637930000003 55.76914610000001, 130.95276800000002 55.712176500000005, 131.1036288 56.4099364, 131.731299 56.4736108, 131.8371121 56.76952220000001, 131.1217023 57.2594065, 131.60875069999997 57.3093624, 132.0712133 57.6870752, 131.44427359999997 58.182402800000006, 132.13723930000003 58.0802304, 132.1399293 58.51486249999999, 132.43091750000002 58.51085439999999, 132.82748350000003 59.1180643, 133.5134422 59.312381499999994, 135.17775529999997 59.111138600000004, 135.6875359 59.5086745, 136.76307459999995 59.3372422, 137.6215997 59.7496087, 138.03117459999999 59.824763399999995, 138.2084782 59.6433843, 138.33645950000002 61.1074316, 139.5537578 61.4736093, 140.7879826 62.5262885, 142.4505708 61.871580099999996, 143.22969339999997 62.1174713, 144.22374299999998 61.727803300000005, 144.7364197 62.0454828, 145.48438960000001 62.540134200000004, 145.24931949999998 63.1597037, 145.56750680000002 63.807865199999995, 146.37153640000002 64.1917258, 147.29461519999995 64.0187287, 147.64377359999995 64.17800129999998, 148.0183431 63.93613570000001, 148.327615 64.5280792, 149.3394921 64.37675469999999, 149.93655549999997 64.5517407, 150.5488196 64.16633199999998, 150.63959039999997 64.3377412, 151.9661677 64.4885866, 152.34643600000004 64.3673966, 152.84673650000002 64.69996760000001, 152.5187138 64.9163838, 152.71737359999997 65.2211828, 153.5005334 65.34573649999999, 153.53115640000001 65.8095943, 154.2653459 65.80533149999998, 154.3958691 66.1838449, 156.43315539999998 66.0339168, 156.67400379999998 66.18904309999999, 157.3351585 65.89182720000001, 157.7386245 66.0986418, 158.507274 66.0954102, 158.5434444 66.3352353, 158.96003630000004 66.7605868, 157.82262050000003 67.298411, 157.8100906 67.67456809999999, 158.3639401 67.724236, 158.0568028 67.8735269, 158.64698449999997 68.12740679999999, 161.449741 68.3779357, 162.44752569999997 68.28410320000002, 162.85520880000004 68.83122920000002, 162.3478895 69.408152, 162.53106019999998 69.86903829999999)))	49	Sakha (Yakutia)	996243	995686	+0.06%	3083523	0.32
Курганская область	Kurgan Oblast	POLYGON ((63.35147949999999 54.1940745, 65.221956 54.33428599999999, 65.48955400000001 54.655537, 68.23513390000001 54.9690517, 68.17743029999998 55.198886900000005, 68.71426600000002 55.3475192, 68.16248079999998 55.724342400000005, 67.40391960000002 55.727855100000006, 67.3030462 55.96290020000001, 66.0209714 55.993602, 65.68312320000001 56.269664399999996, 65.12200209999997 56.307573399999995, 64.92705520000001 56.77240020000001, 64.32789879999999 56.7565425, 64.17883569999998 56.460684699999995, 62.51557220000001 56.562949700000004, 62.0610577 56.1308206, 62.6200899 55.4905694, 62.06635060000001 55.30362739999999, 62.2847697 55.07821210000001, 61.966185100000004 55.0303115, 62.0169628 54.7238837, 63.1998212 54.6990849, 63.09753290000001 54.3334851, 63.35147949999999 54.1940745))	59	Kurgan Oblast	761546	776661	−1.95%	71488	10.65
Тюменская область	Tyumen Oblast	POLYGON ((75.10823749999999 58.5762449, 75.1312975 58.6638893, 73.0248098 58.87492769999999, 72.9756191 59.12638200000001, 72.52471249999999 59.1479032, 71.17932789999999 59.9070663, 69.2697621 59.9895586, 69.3090014 59.769649, 68.57347669999999 59.5885867, 68.26143160000001 59.23810910000001, 66.77247189999999 58.923282, 66.7852384 58.656545300000005, 65.95045990000001 58.6145443, 66.18485679999999 58.0109699, 64.83308819999999 57.648250100000006, 65.2531476 56.92050590000001, 64.92705520000001 56.77240020000001, 65.12200209999997 56.307573399999995, 65.68312320000001 56.269664399999996, 66.0209714 55.993602, 67.3030462 55.96290020000001, 67.40391960000002 55.727855100000006, 68.16248079999998 55.724342400000005, 68.71426600000002 55.3475192, 69.6598291 55.349568399999995, 69.67634799999998 55.4804002, 70.20110000000001 55.1474, 70.46119770000001 55.285825900000006, 70.75697229999999 55.5847221, 70.5504867 55.79174890000001, 70.82871289999999 55.8346168, 70.4806123 55.9059668, 70.91382850000001 56.085713000000005, 70.7354584 56.4245891, 71.02038239999999 56.6829541, 71.67732889999999 56.76522320000001, 71.0068122 57.377302900000004, 70.68925300000001 57.19955670000001, 70.37234919999999 57.329436900000005, 70.6856931 57.515540900000005, 70.35838159999999 57.901292999999995, 70.85277389999999 58.529270600000004, 71.3115762 58.3834537, 71.2135228 58.0531576, 72.8115362 57.9967477, 73.12828749999998 58.1553042, 74.2196308 58.1362977, 75.10823749999999 58.5762449))	28	Tyumen Oblast	1607274	1601940	+0.33%	160122	10.04
Тыва	Tuva	POLYGON ((98.96921690000002 52.1434, 98.63053029999999 52.415022900000004, 98.9248903 52.932245900000005, 99.23056720000001 52.9631856, 98.91740940000003 53.1552266, 98.3035575 53.09635260000001, 96.8939927 53.728157900000014, 96.6883296 53.646336600000005, 94.6183446 53.33111, 94.5259247 52.9100186, 92.8736977 51.8360233, 90.84934279999999 51.900384499999994, 90.4867326 52.195871100000005, 90.14344279999999 52.1484879, 90.1351174 51.76045930000001, 89.65967529999999 51.5391677, 88.79153120000001 51.5537609, 89.05422130000001 51.047136, 89.8513499 50.52488939999999, 89.30842829999999 50.2079371, 89.5935703 49.912287299999996, 92.3581 50.8851, 92.6465 50.70550000000001, 93.0089 50.793200000000006, 93.1275 50.584599999999995, 94.27279079999998 50.576207399999994, 94.607 50.037, 95.52151740000001 49.9040283, 95.85279999999999 50.0461, 97.32289999999999 49.7538, 97.8866 49.923500000000004, 98.30720000000001 50.326100000000004, 97.8271895 51.017671699999994, 98.96921690000002 52.1434))	76	Tuva	337299	336651	+0.19%	168604	2
